target,type,index,name,format,assetId,scratch_file,zip_path,bytes,sha256
Stage,costume,1,backdrop1,svg,cd21514d0531fdffb22204e0ec5ed84a,cd21514d0531fdffb22204e0ec5ed84a.svg,assets/Stage/costumes/001_backdrop1.svg,202,c3b723d028900d9768878653c3a65c377871fe3ecfce5c7b66ef795505e85e1a
Stage,costume,2,Blue,png,0407b9daae1c2c78a1a2ddc5e6e93776,0407b9daae1c2c78a1a2ddc5e6e93776.png,assets/Stage/costumes/002_Blue.png,13562,e7bf936241f0c14b290c8d0a481e39320851df81537bbb573c27ddbb524e4eb7
Stage,sound,1,pop,wav,83a9787d4cb6f3b7632b4ddfebf74367,83a9787d4cb6f3b7632b4ddfebf74367.wav,assets/Stage/sounds/001_pop.wav,560,fb8c18242813d8763cccf5f6077daf44b672d0088f5d3688cca29d621b4959cc
Mario,costume,1,MarioWalk1,png,1a48b033f4770cbe7a01defb9a60afed,1a48b033f4770cbe7a01defb9a60afed.png,assets/Mario/costumes/001_MarioWalk1.png,634,7181c576d9224789a56aed1cb0feb74d6095d4fcace4a7af05ada1db507d4189
Mario,costume,2,MarioWalk2,png,999fc96afab0a22cf3574ef2512e01e0,999fc96afab0a22cf3574ef2512e01e0.png,assets/Mario/costumes/002_MarioWalk2.png,707,9d91194af12057a9bacce9a1efb13b8334ca9cfdf91260904c66a3057241577b
Mario,costume,3,MarioWalk3,png,e50916c4a71e21eedc602180d71371ac,e50916c4a71e21eedc602180d71371ac.png,assets/Mario/costumes/003_MarioWalk3.png,686,35c2d59be71cd3f980e811a8a2a00ac08b047eedbeeba625fa4ef442d6a913a6
Mario,costume,4,MarioWalk4,png,999fc96afab0a22cf3574ef2512e01e0,999fc96afab0a22cf3574ef2512e01e0.png,assets/Mario/costumes/004_MarioWalk4.png,707,9d91194af12057a9bacce9a1efb13b8334ca9cfdf91260904c66a3057241577b
Mario,costume,5,MarioTurn,png,6ae14eaa66eb71641fed61a3d8c41095,6ae14eaa66eb71641fed61a3d8c41095.png,assets/Mario/costumes/005_MarioTurn.png,707,78a35d9639d5d2341ac46654e05f4b5f0bd4eaaa2a49defa064c30e3f84453e5
Mario,costume,6,MarioJump,png,8e5f878d53c37672eda3b4b5c2714ff6,8e5f878d53c37672eda3b4b5c2714ff6.png,assets/Mario/costumes/006_MarioJump.png,707,cbabe74ed4aef90eef4c170fd95cbcac3a91696b6908075cc47f972542c47e8b
Mario,costume,7,MarioCrouch,png,899b3a607ee9847b619c9b69a71b5575,899b3a607ee9847b619c9b69a71b5575.png,assets/Mario/costumes/007_MarioCrouch.png,462,e21c265788d6f1b6ab514d648f8f40df22d4c6bbe261bd35401a1bfd16186145
Mario,costume,8,MarioSlide,png,2f29f3288fb048fcc456b9c0cb95a0f1,2f29f3288fb048fcc456b9c0cb95a0f1.png,assets/Mario/costumes/008_MarioSlide.png,668,5cb98a711dfdfdb12aedfc2ce4c77e2778f6ac1dff445a331d314ce39250e9d3
Mario,costume,9,MarioDeath,png,bc6b33253e3e0b0d9d6eccbac873ae74,bc6b33253e3e0b0d9d6eccbac873ae74.png,assets/Mario/costumes/009_MarioDeath.png,748,5afe4a74197f5a9e18a2d422c9dd06ed13739f89d251921fca24410f730e6084
